offset	dtype	shape	name
0	>u4	0	FileMagicNum
4	>u2	0	FileVersion
6	>u2	0	FileType
8	>S10	0	SWdate
24	>f8	0	TimeStep
32	>u1	0	ChanNum
33	>u1	0	EightBit
36	>f4	2,4	Scaling
100	>u4	0	XResolution
104	>u4	0	YResolution
108	>u2	0	Oversampling
111	>u1	0	ZeissScanSpeed
112	>f4	0	ScanRate
116	>f4	0	FramelineRampdownRatio
120	>f4	0	Xmin
124	>f4	0	Xmax
128	>f4	0	Detmin
132	>f4	0	Detmax
136	>u2	0	DecimatingFactor
151	>u1	0	AI1
152	>u1	0	AI2
153	>u1	0	AI3
154	>u1	0	AI4
180	>S200	0	Notes
380	>S10	0	DetA
390	>S18	0	DetB
410	>S20	0	DetC
430	>S20	0	DetD
460	>f4	0	Mag
464	>f4	0	PixelSize
468	>f4	0	WD
472	>f4	0	EHT
480	>u1	0	SEMApr
481	>u1	0	HighCurrent
490	>f4	0	SEMCurr
494	>f4	0	SEMRot
498	>f4	0	ChamVac
502	>f4	0	GunVac
510	>f4	0	SEMShiftX
514	>f4	0	SEMShiftY
518	>f4	0	SEMStiX
522	>f4	0	SEMStiY
526	>f4	0	SEMAlnX
530	>f4	0	SEMAlnY
534	>f4	0	StageX
538	>f4	0	StageY
542	>f4	0	StageZ
546	>f4	0	StageT
550	>f4	0	StageR
554	>f4	0	StageM
560	>f4	0	BrightnessA
564	>f4	0	ContrastA
568	>f4	0	BrightnessB
572	>f4	0	ContrastB
600	>u1	0	Mode
604	>f4	0	FIBFocus
608	>u1	0	FIBProb
620	>f4	0	FIBCurr
624	>f4	0	FIBRot
628	>f4	0	FIBAlnX
632	>f4	0	FIBAlnY
636	>f4	0	FIBStiX
640	>f4	0	FIBStiY
644	>f4	0	FIBShiftX
648	>f4	0	FIBShiftY
652	>u4	0	MillingXResolution
656	>u4	0	MillingYResolution
660	>f4	0	MillingXSize
664	>f4	0	MillingYSize
668	>f4	0	MillingULAng
672	>f4	0	MillingURAng
676	>f4	0	MillingLineTime
680	>f4	0	FIBFOV
684	>u2	0	MillingLinesPerImage
686	>u1	0	MillingPIDOn
689	>u1	0	MillingPIDMeasured
690	>f4	0	MillingPIDTarget
694	>f4	0	MillingPIDTargetSlope
698	>f4	0	MillingPIDP
702	>f4	0	MillingPIDI
706	>f4	0	MillingPIDD
800	>S30	0	MachineID
980	>f4	0	SEMSpecimenI
850	>f4	0	Temperature
854	>f4	0	FaradayCupI
858	>f4	0	FIBSpecimenI
862	>f4	0	BeamDump1I
866	>f4	0	SEMSpecimenICurrent
870	>f4	0	MillingYVoltage
874	>f4	0	FocusIndex
878	>u4	0	FIBSliceNum
882	>f4	0	BeamDump2I
886	>f4	0	MillingI
1000	>i8	0	FileLength
